myear,oem,model,gear_box,seats,steering_type,no_of_cylinder,super_charger,top_speed,max_power_delivered,max_torque_delivered,feature_score,selling_price
2022,tata,tata tiago,5 speed,5,power,3,1,165,72.0,95.0,19,740000.0
2015,maruti,maruti eeco,5 speed,5,manual,4,0,145,63.0,83.0,13,315000.0
2021,maruti,maruti eeco,5 speed,5,manual,4,1,165,61.68,85.0,13,570000.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,245000.0
2022,tata,tata tiago,5 speed,5,power,3,1,165,72.0,95.0,19,720000.0
2011,maruti,maruti alto,5 speed,5,power,3,0,137,38.4,54.0,8,120000.0
2020,maruti,maruti ertiga tour,5 speed,7,power,4,1,165,91.18,122.0,19,950000.0
2019,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,440000.0
2022,maruti,maruti wagon r,5 speed,5,power,3,1,165,55.92,82.1,20,640000.0
2021,hyundai,hyundai aura,5 speed,5,power,4,0,165,68.05,95.2,21,725000.0
2022,maruti,maruti alto 800,5 speed,4,power,3,1,165,40.36,60.0,16,500000.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,280000.0
2010,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,130000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,265000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,319430.0
2021,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,575000.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,300000.0
2013,hyundai,hyundai accent,5 speed,5,power,4,0,165,93.7,124.5,20,190000.0
2021,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,580000.0
2020,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,492801.0
2022,maruti,maruti eeco,5 speed,5,manual,4,1,165,70.67,95.0,13,530000.0
2022,maruti,maruti eeco,5 speed,5,manual,4,1,165,70.67,95.0,13,620000.0
2012,honda,honda city,5 speed,5,power,4,0,165,116.3,146.0,18,301000.0
2021,maruti,maruti eeco,5 speed,5,manual,4,1,165,61.68,85.0,13,500000.0
2018,maruti,maruti alto 800,5 speed,5,power,3,0,140,40.3,60.0,19,300000.0
2014,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.9,110.0,24,600000.0
2019,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,390000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,275000.0
2019,hyundai,hyundai santro,5 speed,5,power,4,0,165,58.0,84.33,22,540000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,320000.0
2016,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.46,112.0,22,790000.0
2013,maruti,maruti eeco,5 speed,5,power,4,0,165,73.0,101.0,8,350000.0
2016,maruti,maruti alto 800,5 speed,5,power,3,0,140,47.3,69.0,17,250000.0
2015,maruti,maruti alto 800,5 speed,5,power,3,0,140,47.3,69.0,17,225000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,300000.0
2021,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,515000.0
2020,maruti,maruti eeco,5 speed,5,manual,4,1,165,61.68,85.0,13,575000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,385000.0
2020,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,500000.0
2016,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.46,112.0,22,600000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,295000.0
2013,maruti,maruti alto 800,5 speed,5,power,3,0,140,47.3,69.0,17,155000.0
2010,hyundai,hyundai accent,5 speed,5,power,4,0,165,93.7,124.5,20,140000.0
2017,maruti,maruti alto 800,5 speed,5,power,3,0,140,40.3,60.0,19,290000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,200000.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,234579.0
2014,hyundai,hyundai santro xing,5 speed,5,power,4,1,165,88.5,200.0,0,270000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,310000.0
2017,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,375000.0
2020,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,490000.0
2018,maruti,maruti eeco,5 speed,5,power,4,0,165,73.0,101.0,8,450000.0
2020,maruti,maruti celerio,5 speed,5,power,3,0,165,58.33,78.0,22,540000.0
2022,maruti,maruti eeco,5 speed,5,manual,4,1,165,70.67,95.0,13,625699.0
2018,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,440000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,271156.0
2010,maruti,maruti zen estilo,5 speed,5,power,3,0,145,67.1,90.0,17,160000.0
2019,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,370000.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,263928.0
2010,hyundai,hyundai accent,5 speed,5,power,4,0,165,94.0,12.5,22,130000.0
2020,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,600000.0
